index,id,content,date,likeNum,commentNum,userName,type,status
0,1000051,"上帝对人
都是公平的
给了你丑外表
——
也会配套给你
低智商",2018-06-16,49438,1577,逻辑自洽,1,1
1,1000391,"不要轻易
向命运低头
——
因为
一低头
就会看到赘肉",2019-08-24,33266,971,积蓄丰腴,1,1
2,1000416,"每次跟别人吵架
感觉都跟考试一样
事后想起来
——
总是觉的
没有发挥好",2019-08-26,29732,815,水平有限,1,1
3,1000423,"如果你愿意
一层一层
剥开我的心
你会发现
——
我缺心眼啊",2019-08-27,21114,598,她扒拉我,1,1
4,1000390,"每次
临时抱佛脚的时候
——
佛祖他
总是给我一脚",2019-08-24,20894,499,一厢情愿,1,1
5,1000627,"学习使我快乐
快乐都是短暂的
不要追求
短暂的快乐
——
所以不要学习",2020-01-16,19831,679,一时学习一时爽,1,1
6,1000449,"昨天遇见小学同学
没有想到
他混的这么差
——
只放了一块钱
到我碗里",2019-08-29,19356,495,给你签个名吧,1,1
7,1000400,"今年情人节
不出意外的话
一个人过
出意外的话
——
去医院过",2019-08-25,18135,378,实事求是,1,1
8,1000588,"好不容易
习惯了
自己的长相
——
去理了个发
又换了一种丑法",2019-09-24,18114,523,习惯成自然,1,1
9,1000593,"国庆节放假
想跟女朋友去旅行
请大家帮忙
推荐下
——
哪里有女朋友",2019-09-29,17054,945,一块钱四个,1,1
10,1000438,"只是因为在人群中
多看了你一眼
你就
——
问我游泳健身
了解一下？",2019-08-28,16691,436,我想枯了,1,1
11,1000625,"爱情会离开
朋友会离开
快乐会离开
但是考试不会
因为你
不会就是不会",2019-12-05,16541,276,好好学习也不会,1,1
12,1000470,"别老觉得
身边的人都针对你
其实仔细想想
——
整个世界
都在针对你",2019-08-31,16371,431,天之焦子,1,1
13,1000589,"地下停车场
设计得跟迷宫一样
每次都要找好久
——
才能发现
我自己没有车",2019-09-24,16337,399,凭空开车,1,1
14,1000610,"我喜欢这个季节
因为它像极了
我的学习
和爱情
——
早晚都凉",2019-10-24,15854,278,注意保暖,1,1
15,1000596,"马云证明了
成功与长相无关
雷军证明了
成功与出身无关
——
而你则证明了
成功与你无关",2019-10-05,15547,261,举一反三,1,1
16,1000626,"寒假在家
总结了点经验
千万别跟父母吵架
——
吵不赢只能挨骂
吵赢了只会挨打",2020-01-05,15228,459,痛的领悟,1,1
17,1000606,"给异地恋的同学们
一个真诚的建议
一定要互相信任
——
这样
对四个人都好",2019-10-15,14995,388,多赢,1,1
18,1000624,"请问下
长这么大了
你的感情路还顺么
——
当然顺啊
一路上都没什么人",2019-11-18,14589,314,交通事故,1,1
19,1000552,"静下心来听的课
都是废话
——
打了个盹
错过的
全TM是重点",2019-09-11,14069,298,毁人不倦,1,1
20,1000437,"不小心
脚被蛇咬了
抢救了6个小时
终于
——
把蛇救了回来",2019-08-28,13973,521,有毒认证,1,1
21,1000039,"做事情前
一定要三思
——
能不能不做
能不能改天做
能不能别人做",2018-06-12,13445,308,谨慎乐观,1,1
22,1000559,"明天就要
见对方家长了
好忐忑啊
——
毕竟是我
先打的他们小孩",2019-09-12,12959,345,在线等哦,1,1
23,1000385,"我这人
不太懂音乐
所以
——
时而不靠谱
时而不着调",2019-08-23,12803,266,学有所成,1,1
24,1000599,"马上就要月考了
看我不给你们
露两手
你们都不知道
我国庆玩得
有多开心",2019-10-08,12751,252,只取一瓢,1,1
25,1000603,"你喜欢的人
恰好也喜欢你
你知道
这叫什么吗？
——
这叫想象力",2019-10-13,12141,296,梦有万成,1,1
26,1000609,"人们都说
在喜欢的人面前
自己会变笨
——
我才发现
作业是我的真爱",2019-10-24,11893,257,太无情,1,1
27,1000411,"最近心情不好
去医生时
他说
——
你没啥抑郁症
你是真的惨",2019-08-26,11730,183,当代李时珍,1,1
28,1000421,"小时候不爱吃饭
导致个子矮
现在
我爱吃饭了
——
变得又胖又矮",2019-08-27,11660,291,坚持就是胜利,1,1
29,1000586,"吃得苦中苦
方为人上人
——
我不想当人上人
可这世间疾苦
照样没放过我啊",2019-09-24,11588,232,充分不必要,1,1
30,1000621,"年轻人
只要你足够专一
总有一天
会遇到你喜欢的人
——
跟另一半在逛街",2019-11-07,11428,244,可惜不是你,1,1
31,1000480,"所谓复习
就是把不会的东西
再确认一遍
——
我
确实不会",2019-09-01,11186,208,开学考试,1,1
32,1000618,"老师总说
打游戏影响学习
我现在终于信了
——
难怪怎么也考不过
那些打游戏的",2019-11-04,10918,239,双刃剑,1,1
33,1000389,"困难像弹簧，
你弱它就强；
你强
——
它更强。",2019-08-24,10742,190,能伸能屈,1,1
34,1000595,"老婆饼里没老婆
棉花糖里没棉花
——
所以
钱包里面没有钱
不是很正常么",2019-10-05,10722,268,举一反三,1,1
35,1000622,"有些人稍考好一点
就开始各种得瑟
能不能学学我
低调一点
——
我从来都考不好",2019-11-08,10690,268,烤山药,1,1
36,1000623,"今天的特殊意义
主要在两方面
——
光棍节证明你丑
双十一证明你穷",2019-11-11,10547,148,谢谢爸爸,1,1
37,1000608,"我到底做错什么
让我们不能在一起
——
别想太多
你只是做错了题
进不了我们学校",2019-10-19,10492,198,1+0=中,1,1
38,1000384,"做任何事情
一定要坚持下去
——
世界
总会让你看到
失败的那一天",2019-08-23,10475,311,不负世界不负卿,1,1
39,1000399,"老天没降什么
大任于我
——
照样
苦我心智
劳我筋骨
饿我体肤
",2019-08-25,10352,184,人工降雨,1,1
40,1000605,"军训结束了
以后
别再叫我单身狗
——
一定要叫
那也是军犬！",2019-10-13,10306,294,人生巅峰,1,1
41,1000598,"大家都说
我们终究会变成
自己讨厌的那个人
——
我讨厌有钱人
不知道啥时候变呢",2019-10-08,10234,224,讨厌被讨厌,1,1
42,1000619,"我有很多好朋友
这些好朋友
非常优秀
他们都有
——
比我更好的朋友",2019-11-06,10063,175,超级耐撕,1,1
43,1000614,"快乐分享给朋友
快乐会加倍
痛苦分享给朋友
——
朋友
会减半",2019-10-29,10057,194,薛定谔的朋友,1,1
44,1000587,"再好看的容颜
总有一天也会老去
我想我可能
无法承受这种失去
所以
我从来就没好看过",2019-09-24,9709,215,母胎有毒,1,1
45,1000376,"你看
他俩还真般配呢
——
是啊
月老的垃圾分类
做得真不错",2019-08-22,9505,276,人人有责,1,1
46,1000460,"没钱了
记得来找我
让我用实践告诉你
——
没钱的日子
怎么过",2019-08-30,9352,221,理论结合实践,1,1
47,1000583,"大龄单身狗
无非就俩原因
——
一开始
谁也看不上
到后来
谁也看不上",2019-09-22,9240,266,只看不上,1,1
48,1000615,"同学们
早起是个好习惯
你起的越早
就有越多的时间
——
睡个回笼觉",2019-11-02,9182,183,冬眠不觉晓,1,1
49,1000066,"当你知道
自己要去哪里
的时候
——
全世界都会
为你添堵",2018-06-21,9062,183,义不容辞,1,1
50,1000582,"昨天我的包被抢了
我很伤心
哭了一整晚上
我实在想不通
——
到底我哪里不如
我的包",2019-09-22,8936,394,包治百病,1,1
51,1000448,"长辈常说
年轻的时候
多吃点苦
——
这样
老了才能习惯啊",2019-08-29,8732,114,学到老活到老,1,1
